Date,Open,High,Low,Close,Adj Close,Volume
1990-09-10,23997.230469,25080.900391,23997.230469,25080.900391,25080.900391,0
1990-09-11,25064.009766,25064.009766,24470.710938,24604.660156,24604.660156,0
1990-09-12,24600.810547,25288.060547,24463.599609,25216.140625,25216.140625,0
1990-09-13,25253.679688,25487.800781,25012.349609,25075.080078,25075.080078,0
1990-09-14,25064.210938,25064.210938,24834.240234,24897.460938,24897.460938,0
1990-09-17,24888.669922,24888.669922,24286.480469,24365.599609,24365.599609,0
1990-09-18,24331.029297,24331.029297,23308.310547,23884.820313,23884.820313,0
1990-09-19,23879.380859,24131.289063,23726.169922,23726.169922,23726.169922,0
1990-09-20,23734.070313,23836.410156,23432.179688,23602.980469,23602.980469,0
1990-09-21,23570.089844,23782.080078,23049.990234,23777.830078,23777.830078,0
1990-09-24,null,null,null,null,null,null
1990-09-25,23762.029297,23762.029297,23218.500000,23359.320313,23359.320313,0
1990-09-26,23371.080078,23518.429688,22250.619141,22250.619141,22250.619141,0
1990-09-27,22232.140625,22311.890625,21531.769531,21771.910156,21771.910156,0
1990-09-28,21756.199219,21756.199219,20671.009766,20983.500000,20983.500000,0
1990-10-01,20986.070313,21075.500000,19781.699219,20221.859375,20221.859375,0
1990-10-02,20221.859375,22899.400391,20221.859375,22898.410156,22898.410156,0
1990-10-03,22898.109375,23462.890625,22578.019531,22849.390625,22849.390625,0
1990-10-04,22829.029297,22829.029297,22260.099609,22278.189453,22278.189453,0
1990-10-05,22308.429688,23139.740234,22308.429688,22827.650391,22827.650391,0
1990-10-08,22857.589844,23630.000000,22857.589844,23630.000000,23630.000000,0
1990-10-09,23643.050781,23971.439453,23361.699219,23495.109375,23495.109375,0
1990-10-10,null,null,null,null,null,null
1990-10-11,23479.689453,23479.689453,22521.199219,22585.630859,22585.630859,0
1990-10-12,22557.169922,22557.169922,22131.830078,22390.160156,22390.160156,0
1990-10-15,22404.089844,23109.199219,22404.089844,23109.199219,23109.199219,0
1990-10-16,23143.410156,23819.480469,23143.410156,23606.099609,23606.099609,0
1990-10-17,23615.400391,24053.939453,23551.460938,23859.359375,23859.359375,0
1990-10-18,23857.980469,24367.080078,23763.359375,24367.080078,24367.080078,0
1990-10-19,24363.919922,25003.169922,24363.919922,24481.490234,24481.490234,0
1990-10-22,24489.509766,25232.380859,24489.509766,25070.859375,25070.859375,0
1990-10-23,25099.070313,25432.900391,25083.529297,25298.300781,25298.300781,0
1990-10-24,25271.279297,25271.279297,24677.259766,24876.880859,24876.880859,0
1990-10-25,24907.560547,25485.849609,24907.560547,25352.630859,25352.630859,0
1990-10-26,25323.269531,25323.269531,24866.080078,25005.640625,25005.640625,0
1990-10-29,25004.359375,25393.250000,25004.259766,25329.310547,25329.310547,0
1990-10-30,25328.519531,25328.519531,24885.179688,25242.400391,25242.400391,0
1990-10-31,25253.490234,25444.919922,25144.710938,25194.099609,25194.099609,0
1990-11-01,25159.949219,25159.949219,24204.689453,24295.160156,24295.160156,0
1990-11-02,24244.279297,24385.029297,23671.980469,24194.990234,24194.990234,0
1990-11-05,24232.009766,24575.369141,24232.009766,24385.330078,24385.330078,0
1990-11-06,24416.410156,24645.250000,23867.660156,23965.750000,23965.750000,0
1990-11-07,23938.339844,23938.339844,23401.460938,23500.250000,23500.250000,0
1990-11-08,23444.029297,23444.029297,22833.710938,22969.810547,22969.810547,0
1990-11-09,22946.949219,22946.949219,22482.039063,22931.800781,22931.800781,0
1990-11-12,null,null,null,null,null,null
1990-11-13,22938.730469,23974.070313,22938.730469,23973.669922,23973.669922,0
1990-11-14,23940.810547,24045.830078,23629.519531,23937.439453,23937.439453,0
1990-11-15,23931.009766,23959.710938,23453.230469,23487.480469,23487.480469,0
1990-11-16,23455.410156,23455.410156,22874.390625,23171.630859,23171.630859,0
1990-11-19,23192.619141,23518.160156,23176.679688,23518.160156,23518.160156,0
1990-11-20,23478.669922,23478.669922,23202.810547,23205.480469,23205.480469,0
1990-11-21,23158.169922,23158.169922,22615.259766,22816.990234,22816.990234,0
1990-11-22,22821.439453,23400.279297,22821.439453,23400.279297,23400.279297,0
1990-11-23,null,null,null,null,null,null
1990-11-26,23416.779297,23766.089844,23416.779297,23762.859375,23762.859375,0
1990-11-27,23737.140625,23737.140625,23533.439453,23623.509766,23623.509766,0
1990-11-28,23609.519531,23767.060547,23046.250000,23053.880859,23053.880859,0
1990-11-29,23030.900391,23030.900391,22265.599609,22712.599609,22712.599609,0
1990-11-30,22684.039063,22684.039063,21933.990234,22454.630859,22454.630859,0
1990-12-03,22456.869141,23033.740234,22456.869141,22725.990234,22725.990234,0
1990-12-04,22679.050781,22679.050781,21862.410156,21862.609375,21862.609375,0
1990-12-05,21901.720703,22250.640625,21626.640625,22193.720703,22193.720703,0
1990-12-06,22238.800781,22609.130859,22238.800781,22553.099609,22553.099609,0
1990-12-07,22592.310547,23538.240234,22592.310547,23522.490234,23522.490234,0
1990-12-10,23564.640625,23862.410156,23350.869141,23784.669922,23784.669922,0
1990-12-11,23760.019531,24006.160156,23433.500000,23956.970703,23956.970703,0
1990-12-12,23956.480469,24325.839844,23893.210938,23999.410156,23999.410156,0
1990-12-13,24036.279297,24642.970703,24036.279297,24642.970703,24642.970703,0
1990-12-14,24637.490234,24637.490234,24173.669922,24349.500000,24349.500000,0
